ABO,10,0.01,10,3,0,38.0,38.0,1.0,-0.30251002311706543
ABO,6,0.1,10,3,0,38.0,33.0,0.868421052631579,-0.1516270637512207
ABO,4,0.05,10,3,1,26.0,23.0,0.8846153846153846,-0.05726003646850586
ABO,6,0.075,10,2,2,16.0,16.0,1.0,-0.042574167251586914
ABO,10,0.01,10,3,2,61.0,59.0,0.9672131147540983,-0.7642829418182373
ABO,2,0.01,10,3,1,3.0,3.0,1.0,-0.017009735107421875
ABO,6,0.025,10,3,2,29.0,27.0,0.9310344827586207,-0.21544599533081055
ABO,2,0.05,10,3,1,4.0,4.0,1.0,-0.019379138946533203
ABO,8,0.05,10,3,1,24.0,24.0,1.0,-0.1440591812133789
ABO,6,0.05,10,3,0,27.0,27.0,1.0,-0.14413905143737793
ABO,8,0.75,10,3,0,35.0,32.0,0.9142857142857143,-0.056860923767089844
ABO,10,0.01,10,2,2,38.0,38.0,1.0,-0.2038431167602539
ABO,8,0.1,10,3,1,39.0,35.0,0.8974358974358975,-0.21938586235046387
ABO,4,0.1,10,2,1,12.0,12.0,1.0,-0.026416778564453125
ABO,6,0.025,10,3,1,22.0,22.0,1.0,-0.12053489685058594
ABO,6,0.25,10,2,1,30.0,30.0,1.0,-0.04343605041503906
ABO,8,0.075,10,3,1,29.0,27.0,0.9310344827586207,-0.18063068389892578
ABO,6,0.75,10,2,2,14.0,14.0,1.0,-0.03555774688720703
ABO,6,0.5,10,2,0,16.0,14.0,0.875,-0.02732396125793457
ABO,10,0.025,10,2,1,34.0,34.0,1.0,-0.11530303955078125
ABO,5,0.25,100,2,0,164.0,154.0,0.9390243902439024,-0.8498401641845703
